question,document
Why do glass and silk attract after being rubbed together?,dc1_sec01_001
What happens when two identical materials are rubbed with the same type of cloth?,dc1_sec01_001
How did experiments with rubbed glass and wax show that there are two kinds of electric charge?,dc1_sec01_001
What did Benjamin Franklin believe caused one object to have an excess or shortage of charge?,dc1_sec01_001
Why did early scientists describe electric charge as an invisible fluid?,dc1_sec01_001
Why were rubbed materials classified as either positive or negative?,dc1_sec01_002
How did Franklin’s naming of positive and negative charges create confusion?,dc1_sec01_002
"What is a coulomb, and how was it defined using charged objects?",dc1_sec01_002
Approximately how many electrons correspond to one coulomb of charge?,dc1_sec01_002
"What are the main particles found in atoms, and what is unusual about protium?",dc1_sec01_002
What determines which chemical element an atom is?,dc1_sec01_003
How does changing the number of neutrons affect an atom?,dc1_sec01_003
Why can electrons move more easily than protons or neutrons?,dc1_sec01_003
What makes an atom electrically neutral or charged?,dc1_sec01_003
How does rubbing two materials create static electricity?,dc1_sec01_003
What causes electrons to move between materials when they are rubbed together?,dc1_sec01_004
Why is an imbalance of electrons called static electricity?,dc1_sec01_004
How does an object become negatively or positively charged?,dc1_sec01_004
What did Michael Faraday show about static electricity in 1832?,dc1_sec01_004
What are some practical uses of static electricity?,dc1_sec01_004
What makes a material a conductor instead of an insulator?,dc1_sec02_001
Why do metals have free electrons that can move between atoms?,dc1_sec02_001
Which common materials are examples of electrical conductors and insulators?,dc1_sec02_001
Why isn’t silver conductivity the same as that of concrete or dirty water?,dc1_sec02_001
"How can temperature change the conductivity of glass, air, and metals?",dc1_sec02_001
What is the difference between dynamic electricity and static electricity?,dc1_sec02_002
"Why can electron flow begin and stop throughout a conductor almost instantly, even though individual electrons move slowly?",dc1_sec02_002
How does the tube-of-marbles example illustrate the way electric current moves?,dc1_sec02_002
"Why must an electrical circuit have a continuous, unbroken conductive path for current to flow?",dc1_sec02_002
"Which metals are commonly used to make wires, and why are they suitable for directing electron flow?",dc1_sec02_002
Why can’t electrons keep moving through a wire unless there is both a source and a destination?,dc1_sec02_003
What happens to electron flow when a wire is cut and an air gap separates the ends?,dc1_sec02_003
How does connecting another wire restore a complete path for current?,dc1_sec02_003
