question,answer_llm,answer_orig,document
Is it okay to start the course late if I just found it now?,"Yes — you can still join and start whenever you want.

If you’re aiming for a certificate, make sure you submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still join the course after it has already started?,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join the course now, can I still get a certificate?","Yes, but only if you submit your project while the course is still accepting submissions and finish with the live cohort. You can’t get a certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,"To be eligible for the certificate, you need to finish the course with the live cohort and pass the Capstone project. Homework is not mandatory.

If you join late, the key requirement is that you must still be able to submit your project and peer-review 3 other capstone projects while the course is running. If the peer-review stage is already closed, you won’t be eligible for a certificate.

","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is the project submission deadline still open for new students?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp — when should I get a confirmation email?,"You don’t need to wait for a confirmation email — you’re accepted. Registration is just to gauge interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,"No, you don’t need a registration confirmation to start the course or submit homework. You’re accepted, and you can begin learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there a list of registered students that homework submissions are checked against?,No. Homework submission is **not checked against any registered list**. You can start learning and submitting homework while the form is open even without registering.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never signed up, can I still begin learning and turn in assignments while registration is open?",Yes. You can start learning and submit homework while the form is open even if you never registered. Registration is just to gauge interest and is not checked against a list.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is registration for in the LLM Zoomcamp if it’s not required to join?,"Registration is just to gauge interest before the start date. You don’t need confirmation to join, and it isn’t checked against a registered list. You can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
