question,answer_agent,answer_orig,tool_calls,cost,document
Is it okay to start the course late if I just found it now?,"Yes — you can start the course whenever you want. The videos and GitHub materials are available, so you can begin late and work through the lessons at your own pace.

A couple of notes:
- Homework can only be submitted while the submission form is open.
- There are no late submissions or individual deadline extensions once the form is closed.

If you want, I can also point you to the best way to catch up quickly.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""start the course late found it now late enrollment start late okay""}'}]",0.00150525,74eb249bbf
Can I still join the course after it has already started?,"Yes — you can still join the course after it has started.

If you want to receive a certificate, though, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join the course after it has already started late enrollment add after start course""}'}]",0.0010650,74eb249bbf
"If I join the course now, can I still get a certificate?","Yes — you can still join, but to get a certificate you need to submit your project while the course is still accepting submissions.

Also, the certificate is only awarded if you finish with the live cohort; self-paced participation doesn’t qualify.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate join course now eligible get a certificate late enrollment""}'}]",0.001026,74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,"If you’re joining late, you can still be eligible for the certificate as long as you **finish the course with the live cohort** and **pass the Capstone project**.

A few important notes:
- **Homework is not mandatory** for the certificate.
- You **cannot get a certificate in self-paced mode**.
- The reason is that certificate eligibility depends on being able to **peer-review 3 capstones**, which is only possible while the course is running.

So, to be eligible: **join the live cohort in time to complete and submit the Capstone, and participate in the required peer review.**","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate eligibility joining late late enrollment requirements certificate FAQ""}'}]",0.0013995,74eb249bbf
Is the project submission deadline still open for new students?,"Yes — if the **submission form is still open**, new students can still submit, even if the listed deadline has already passed. Once the form is closed, submissions are no longer accepted and there are no late extensions.

If you want, I can also clarify whether this applies to the **homework** or the **capstone/project** specifically.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""project submission deadline new students open""}'}]",0.00114375,74eb249bbf
I registered for the LLM Zoomcamp — when should I get a confirmation email?,"You don’t need to wait for a confirmation email — you’re already accepted.

Also, registration is only used to gauge interest before the start date, so you can start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp registration confirmation email when should I get a confirmation email""}'}]",0.00114225,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,"No — you don’t need the registration confirmation to start the course or submit homework.

According to the FAQ:
- You’re already accepted.
- You can start learning and submit homework as long as the submission form is open.
- Registration is only to gauge interest and is not checked against a registered list.

If you want, I can also tell you what matters for homework deadlines and submissions.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration confirmation start course submit homework""}'}]",0.001269,977bf7786c
Is there a list of registered students that homework submissions are checked against?,No. Homework submissions are **not checked against any registered student list**. You can start learning and submit homework while the form is open even if you didn’t register; registration is only used to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registered students homework submissions checked against list""}'}]",0.0010515,977bf7786c
"If I never signed up, can I still begin learning and turn in assignments while registration is open?","Yes — you can start learning and submit homework while the submission form is open even if you never registered. Registration is only used to gauge interest, and it is not checked against a registered list.

",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""never signed up begin learning turn in assignments while registration is open""}'}]",0.00101625,977bf7786c
What is registration for in the LLM Zoomcamp if it’s not required to join?,"Registration is just to **gauge interest before the start date**. You don’t need it to join the course, and it isn’t checked against a registered list. You can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration for in the LLM Zoomcamp if it’s not required to join""}'}]",0.0013185,977bf7786c
Where do I find the live stream for Office Hours or workshop sessions if the Zoom link isn’t public?,"The Zoom link is only shared with instructors/presenters/TAs, not publicly with students.

To watch live:
- Check the **announcements channel on Telegram and Slack** before it starts — the video URL is posted there.
- You can also watch on the **DataTalksClub YouTube channel**.
- During the live session, submit questions via **Slido** (the link is pinned in chat when live).

Don’t rely on chat for questions, since they may get missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live stream Office Hours workshop sessions Zoom link isn’t public where find stream""}'}]",0.001383,489dd1c9d9
"Do students get the Zoom link for the live sessions, or is it shared somewhere else?","The Zoom link is **not shared with students**. It’s only published to instructors/presenters/TAs.

For students:
- **Live sessions are watched on YouTube Live**
- The stream link is posted in the **announcements channel on Telegram and Slack** before it starts
- Questions should be submitted via **Slido** (pinned in the live chat)

If you want, I can also point you to the general live-session FAQ.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom link live sessions where shared students get the link FAQ""}'}]",0.00141675,489dd1c9d9
How am I supposed to ask questions during Office Hours if I’m watching as a student?,"If you’re watching an Office Hours session as a student, you should ask questions through **Slido** — the link is typically pinned in the live chat when the session is running.

A couple of notes:
- **Don’t post questions in chat**, since they may get missed.
- The Zoom link is usually only for instructors/TAs; students join via **YouTube Live** and use **Slido** for questions.

If you mean asking questions outside the live session, the course also suggests using **Slack** and following the asking-questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Office Hours student watching ask questions during Office Hours""}'}]",0.0015420,489dd1c9d9
Where is the video link announced before a live workshop starts?,"The video URL should be posted in the **announcements channel on Telegram and Slack** before the live workshop starts.

You can also watch it on the **DataTalksClub YouTube Channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""video link announced before a live workshop starts""}'}]",0.00114525,489dd1c9d9
"Can I watch the course live sessions on YouTube, and where should I send questions instead of chat?","Yes — you can watch the live sessions on the DataTalksClub YouTube channel, and students participate via YouTube Live.

For questions, don’t post them in the chat. Instead, submit them in Slido during the live session, and also check the announcements channel on Telegram/Slack for the session link.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live sessions YouTube send questions instead of chat""}'}]",0.00153975,489dd1c9d9
