question,document,score,reasoning
Is it okay to start the course late if I just found it now?,74eb249bbf,good,"The AI answer matches the ground truth: it says late start is okay, and that to receive a certificate the project must be submitted while submissions are still open. This preserves the key condition and meaning."
Can I still join the course after it has already started?,74eb249bbf,good,The AI answer matches the ground truth exactly and preserves the key condition about certificate eligibility and project submission during the acceptance period.
"If I join the course now, can I still get a certificate?",74eb249bbf,good,"The AI answer preserves the core meaning of the ground truth: joining now can still lead to a certificate if the project is submitted while submissions are open. It adds extra constraints about finishing with the live cohort and not getting a certificate in self-paced mode, which are not in the original, but these additions do not contradict the key point asked. The essential answer is correct."
What do I need to do to be eligible for the certificate if I’m joining late?,74eb249bbf,bad,"The ground truth says late joiners can still be eligible for the certificate as long as they submit their project while submissions are still being accepted. The AI answer adds extra requirements about finishing with the live cohort, passing the Capstone, and peer-reviewing 3 projects. Those details are not in the ground truth and may be incorrect or overly specific. It does capture the key idea that eligibility depends on being able to submit the project while the course is still accepting submissions, but the added peer-review condition changes the meaning and is not supported by the original answer. Since the task is semantic equivalence, this is not a clean match."
Is the project submission deadline still open for new students?,74eb249bbf,bad,"The ground truth says the submission deadline is still open, with the caveat that certificate eligibility requires submitting while submissions are still being accepted. The AI answer says 'I don't know,' which fails to convey this information and is incorrect/incomplete."
I registered for the LLM Zoomcamp — when should I get a confirmation email?,977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the student is accepted, registration is only to gauge interest, and they can start learning and submitting homework while the form is open. No key information is missing or incorrect."
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it says registration confirmation is not needed, the student is accepted, and they can start learning and submitting homework while the form is open without registering. It preserves the core meaning, though it omits the detail that registration is only to gauge interest and that the homework is not checked against a registered list. Those omissions do not change the answer."
Is there a list of registered students that homework submissions are checked against?,977bf7786c,good,"The AI answer matches the ground truth: it says there is no registered list used for checking homework submissions, and that students can submit while the form is open without registering. This preserves the key point that registration is only for gauging interest."
"If I never signed up, can I still begin learning and turn in assignments while registration is open?",977bf7786c,good,"The AI answer matches the ground truth: it says registration is not required, one can start learning and submit homework while the form is open, and registration is only for gauging interest and not checked against a list. This preserves the key meaning exactly."
What is registration for in the LLM Zoomcamp if it’s not required to join?,977bf7786c,good,"The AI answer matches the ground truth: registration is only for gauging interest before the start date, and it is not required to join or checked against a list. It also correctly notes that learners can start learning and submitting homework while the form is open."
Where do I find the live stream for Office Hours or workshop sessions if the Zoom link isn’t public?,489dd1c9d9,good,"The AI answer matches the ground truth: it says the Zoom link is not public, students should watch via YouTube Live/DataTalksClub, and the video URL is posted in Telegram/Slack announcements before the session. It also correctly mentions Slido for questions. No key information is missing or incorrect."
"Do students get the Zoom link for the live sessions, or is it shared somewhere else?",489dd1c9d9,good,"The AI answer correctly states that students do not receive the Zoom link and that it is only for instructors/presenters/TAs. It also correctly says students join via YouTube Live and that the video URL is posted in the announcements channel on Telegram and Slack. It omits the Slido question-submission detail and the note not to use chat, but those are additional details rather than the core answer to the question."
How am I supposed to ask questions during Office Hours if I’m watching as a student?,489dd1c9d9,good,"The AI answer preserves the core instruction for students: watch via YouTube Live and ask questions through Slido, with the link pinned in chat, and avoid posting questions in chat. It omits some extra details about where the video URL is announced and the restricted Zoom link, but those are not necessary to answer the question about how students should ask questions during office hours."
Where is the video link announced before a live workshop starts?,489dd1c9d9,good,"The AI answer correctly identifies where the video link is announced before the workshop starts: the announcements channel on Telegram and Slack. This matches the ground truth key point, and the extra details omitted are not necessary for correctness."
"Can I watch the course live sessions on YouTube, and where should I send questions instead of chat?",489dd1c9d9,good,"The AI answer matches the ground truth on the key points: students can watch live on the DataTalksClub YouTube channel, and questions should be submitted via Slido rather than chat. It omits the extra detail about the Zoom link being restricted to instructors/presenters/TAs and the announcements channel, but that is not necessary to answer the question. It is semantically equivalent."
"Where do I begin if I want to follow this course properly, and which pages or repo should I check first?",04919992b3,good,"The AI answer includes the same core starting points as the ground truth: the LLM Zoomcamp docs, logistics docs, and GitHub repository. It also correctly describes the typical workflow and notes that students can start anytime with videos/materials available. The extra module-specific links are not in the ground truth but do not conflict with it. Overall, the answer is semantically equivalent."
"Do I have to start the LLM Zoomcamp at a specific time, or can I jump in whenever I’m ready?",04919992b3,good,"The AI answer correctly states that the course can be started anytime and that videos/GitHub materials are available with deadlines on the course platform. It omits the recommended docs and the typical workflow/homework details, but those are supplementary rather than the core answer to the question."
"What’s the usual week-by-week routine for this course, from watching videos to turning in homework?",04919992b3,good,"The AI answer captures the same typical weekly workflow and the note that homework follows the lesson flow with a different dataset or slightly different task. It omits the introductory pointers to the docs, GitHub repository, ability to start anytime, and deadlines being listed on the course platform, but the question asks specifically about the usual week-by-week routine. The core answer is semantically equivalent."
"How do I find the homework instructions and deadlines for each lesson, and where do I submit the answers?",04919992b3,good,"The AI answer matches the ground truth: homework instructions are on GitHub, deadlines are in the course management platform, and submissions are made through the course platform. It preserves the typical workflow and key guidance. Extra specificity about Module 1 is fine and does not conflict with the original answer."
"Is the homework basically the same as the class notebooks, or does it use new data or a different task?",04919992b3,good,"The AI answer directly matches the key point in the ground truth: homework is similar to the lesson notebooks but uses a different dataset or slightly different task. It omits extra logistics details, but those were not necessary for the asked question."
I can’t find my name on the leaderboard — how do I locate my own entry?,c2903069a0,good,"The AI answer correctly states that users can locate their own leaderboard entry via the 'Jump to your record on the leaderboard' link and mentions that an automatically assigned random display name is used. It also correctly references 'Edit Course Profile' for viewing/changing the displayed name. This matches the ground truth key points, even though it omits the detailed explanation about the two fields and certificate name."
Why do I show up under some random name instead of my real one on the leaderboard?,c2903069a0,good,"The AI answer matches the ground truth: it explains that a random name is assigned automatically, says to use 'Edit Course Profile' to see/change the display name, describes the first and second fields correctly, and mentions the leaderboard jump link. Minor wording differences do not change the meaning."
How can I check what display name the course is using for me?,c2903069a0,good,"The AI answer correctly identifies that clicking ""Edit Course Profile"" lets you see the display name and that the first field is the public nickname/display name used by the course. However, it omits important context from the ground truth: that you can also find your entry via the leaderboard link, and that the second field is the official name that appears on the certificate. Since the question asks how to check what display name the course is using, the core answer is present and semantically equivalent."
"If I want to change the name shown in the leaderboard, where do I edit it?",c2903069a0,good,"The AI answer correctly identifies that the leaderboard name is edited in 'Edit Course Profile' and conveys the key point about the public display name. It omits some extra details from the ground truth, but those are not necessary for the question asked."
What do I need to update so my certificate doesn’t use the default name?,c2903069a0,good,"The AI answer captures the key point: to avoid the default name on the certificate, update the second field in Edit Course Profile with your official name, which appears on the certificate. This matches the ground truth semantically, even though it omits some extra context about the first field and leaderboard link."
