question,document
Is it okay to start the course late if I just found it now?,74eb249bbf
Can I still join the course after it has already started?,74eb249bbf
"If I join the course now, can I still get a certificate?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,74eb249bbf
Is the project submission deadline still open for new students?,74eb249bbf
I registered for the LLM Zoomcamp — when should I get a confirmation email?,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
Is there a list of registered students that homework submissions are checked against?,977bf7786c
"If I never signed up, can I still begin learning and turn in assignments while registration is open?",977bf7786c
What is registration for in the LLM Zoomcamp if it’s not required to join?,977bf7786c
Where do I find the live stream for Office Hours or workshop sessions if the Zoom link isn’t public?,489dd1c9d9
"Do students get the Zoom link for the live sessions, or is it shared somewhere else?",489dd1c9d9
How am I supposed to ask questions during Office Hours if I’m watching as a student?,489dd1c9d9
Where is the video link announced before a live workshop starts?,489dd1c9d9
"Can I watch the course live sessions on YouTube, and where should I send questions instead of chat?",489dd1c9d9
"Where do I begin if I want to follow this course properly, and which pages or repo should I check first?",04919992b3
"Do I have to start the LLM Zoomcamp at a specific time, or can I jump in whenever I’m ready?",04919992b3
"What’s the usual week-by-week routine for this course, from watching videos to turning in homework?",04919992b3
"How do I find the homework instructions and deadlines for each lesson, and where do I submit the answers?",04919992b3
"Is the homework basically the same as the class notebooks, or does it use new data or a different task?",04919992b3
I can’t find my name on the leaderboard — how do I locate my own entry?,c2903069a0
Why do I show up under some random name instead of my real one on the leaderboard?,c2903069a0
How can I check what display name the course is using for me?,c2903069a0
"If I want to change the name shown in the leaderboard, where do I edit it?",c2903069a0
What do I need to update so my certificate doesn’t use the default name?,c2903069a0
"Can I do this course on my own schedule and still get the certificate, or is it only for the live cohort?",69d122f12e
"If I take the self-paced version, do I still qualify for a certificate at the end?",69d122f12e
Why isn’t there a certificate for people who finish the course in self-paced mode?,69d122f12e
Do I need to peer-review other students’ capstone projects to get the certificate?,69d122f12e
Is it possible to do the required project reviews after the course has already ended?,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, as long as I complete the Capstone project?",9f689c185f
"Is homework actually required to get the course certificate, or is the Capstone enough?",9f689c185f
What do I need to pass in order to receive the certificate for this course?,9f689c185f
"If homework isn't mandatory, why should I bother doing it at all?",9f689c185f
"Does missing homework affect my certificate, or does it only impact my leaderboard score?",9f689c185f
Why does the homework keep changing while I’m working on it?,96286b4be4
